,_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
3129,-MfaCEuE2h-94U1yyidd,1901,0.5,13,smalldotT,experiment,3,114,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,18,1,1
3130,-MfaCGHKLz22Th_G7810,2630,0.5,5,smalldotT,experiment,3,115,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,2,,12,0,1
3131,-MfaCHnwLO9l5xo7nt9t,3230,0.5,14,smalldotT,experiment,3,116,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,3,,18,0,1
3132,-MfaCJvm-Jdd-6sIIWyh,5689,0.5,7,smallsharpT,experiment,3,117,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,1,,18,1,1
3133,-MfaCKtz3xRWEnoV-amY,1973,0.5,4,smalldotT,experiment,3,118,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,1,,6,1,1
3134,-MfaCMJUA18jTL2wcsNR,2773,0.5,6,smallsharpT,experiment,3,119,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,1,,12,1,1
3135,-MfaCNxbY2b58AxJ58Qy,3720,0.5,17,smalldotT,experiment,3,120,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,1,,18,1,1
3136,-MfaCOpiZqssuwqtXt6r,1578,0.5,5,smallsharpT,experiment,3,121,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,1,,12,1,1
3137,-MfaCPlUCrAN2ueaIZRw,1810,0.5,3,smalldotT,experiment,3,122,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,1,,6,1,1
3138,-MfaCR5gncCEs-bmFRxA,2432,0.5,4,smallsharpT,experiment,3,123,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,1,,6,1,1
3139,-MfaCS4YfObdJGuCidfY,2010,0.5,4,smallsharpT,experiment,3,124,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,2,,18,0,1
3140,-MfaCTS4Y38GLYkFQTBX,3590,0.5,3,smallsharpT,experiment,3,125,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,3,,6,0,1
3141,-MfaCVS-8A-GpiqygTlm,5183,0.5,10,smalldotT,experiment,3,126,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,1,,18,1,1
3142,-MfaCWwfUtu6PM-_ujBB,4112,0.5,3,smallsharpT,experiment,3,127,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,12,1,1
3143,-MfaCXk7qj8aW9UZHi-w,1286,0.5,3,smallsharpT,experiment,3,128,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,2,,6,0,1
3144,-MfaCZFiAdrQTzaq7fjj,3172,0.5,6,smalldotT,experiment,3,129,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,1,,18,1,1
3145,-MfaCaFs282HkVYojAP1,6187,0.5,2,smallsharpT,experiment,3,130,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,18,1,1
3146,-MfaCbv6yPJt_qL6pTgZ,3797,0.5,0,smalldotT,experiment,3,131,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,6,1,1
3147,-MfaCczxfIX0kLq7Wc3b,1387,0.5,2,smalldotT,experiment,3,132,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,2,,6,0,1
3148,-MfaCe6k-L0rKFiB4hYb,1587,0.5,0,smalldotT,experiment,3,133,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,3,,6,0,1
3149,-MfaCg2MADs-Wmrc81pc,4897,0.5,9,smallsharpT,experiment,3,134,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,1,,12,1,1
